id,h,place,e,n
0,北京,北京,116.4,39.9
1,天津,天津,117.2,39.12
21,石家庄,石家庄,114.52,38.05
45,石家庄,辛集,115.22,37.92
46,石家庄,藁城,114.83,38.03
47,石家庄,晋州,115.03,38.03
48,石家庄,新乐,114.68,38.35
49,石家庄,鹿泉,114.3,38.08
50,唐山,唐山,118.2,39.63
63,唐山,遵化,117.95,40.18
64,唐山,迁安,118.7,40.02
65,秦皇岛,秦皇岛,119.6,39.93
73,邯郸,邯郸,114.48,36.62
92,邯郸,武安,114.2,36.7
93,邢台,邢台,114.48,37.07
115,邢台,南宫,115.38,37.35
116,邢台,沙河,114.5,36.85
117,保定,保定,115.47,38.87
139,保定,涿州,115.97,39.48
140,保定,定州,114.97,38.52
141,保定,安国,115.32,38.42
142,保定,高碑店,115.85,39.33
143,张家口,张家口,114.88,40.82
165,承德,承德,117.93,40.97
177,沧州,沧州,116.83,38.3
191,沧州,泊头,116.57,38.07
192,沧州,任丘,116.1,38.72
193,沧州,黄骅,117.35,38.37
194,沧州,河间,116.08,38.43
195,廊坊,廊坊,116.7,39.52
204,廊坊,霸州,116.4,39.1
205,廊坊,三河,117.07,39.98
206,衡水,衡水,115.68,37.73
216,衡水,冀州,115.57,37.57
217,衡水,深州,115.55,38.02
218,太原,太原,112.55,37.87
228,太原,古交,112.17,37.92
229,大同,大同,113.3,40.08
245,阳泉,阳泉,113.57,37.85
256,长治,长治,113.12,36.2
273,长治,潞城,113.22,36.33
274,晋城,晋城,112.83,35.5
283,晋城,高平,112.92,35.8
284,朔州,朔州,112.43,39.33
290,晋中,晋中,112.75,37.68
301,晋中,介休,111.92,37.03
302,运城,运城,110.98,35.02
314,运城,河津,110.7,35.6
315,忻州,忻州,112.73,38.42
328,忻州,原平,112.7,38.73
329,临汾,临汾,111.52,36.08
345,临汾,侯马,111.35,35.62
346,临汾,霍州,111.72,36.57
347,吕梁,吕梁,111.13,37.52
359,吕梁,孝义,111.77,37.15
360,吕梁,汾阳,111.78,37.27
472,沈阳,沈阳,123.43,41.8
486,沈阳,新民,122.82,42.0
487,大连,大连,121.62,38.92
495,大连,瓦房店,122.0,39.62
496,大连,普兰店,121.95,39.4
497,大连,庄河,122.98,39.7
498,鞍山,鞍山,122.98,41.1
506,鞍山,海城,122.7,40.88
507,抚顺,抚顺,123.98,41.88
515,本溪,本溪,123.77,41.3
522,丹东,丹东,124.38,40.13
527,丹东,东港,124.15,39.87
528,丹东,凤城,124.07,40.45
529,锦州,锦州,121.13,41.1
535,锦州,凌海,121.35,41.17
536,营口,营口,122.23,40.67
541,营口,盖州,122.35,40.4
542,营口,大石桥,122.5,40.65
543,阜新,阜新,121.67,42.02
550,辽阳,辽阳,123.17,41.27
557,辽阳,灯塔,123.33,41.42
558,盘锦,盘锦,122.07,41.12
563,铁岭,铁岭,123.83,42.28
569,铁岭,调兵山,123.55,42.47
570,铁岭,开原,124.03,42.55
571,朝阳,朝阳,120.45,41.57
576,朝阳,北票,120.77,41.8
577,朝阳,凌源,119.4,41.25
578,葫芦岛,葫芦岛,120.83,40.72
584,葫芦岛,兴城,120.72,40.62
585,长春,长春,125.32,43.9
593,长春,九台,125.83,44.15
594,长春,榆树,126.55,44.82
595,长春,德惠,125.7,44.53
596,吉林,吉林,126.55,43.83
602,吉林,蛟河,127.33,43.72
603,吉林,桦甸,126.73,42.97
604,吉林,舒兰,126.95,44.42
605,吉林,磐石,126.05,42.95
606,四平,四平,124.35,43.17
611,四平,公主岭,124.82,43.5
612,四平,双辽,123.5,43.52
613,辽源,辽源,125.13,42.88
618,通化,通化,125.93,41.73
624,通化,梅河口,125.68,42.53
625,通化,集安,126.18,41.12
626,白山,白山,126.42,41.93
631,白山,临江,126.9,41.8
632,松原,松原,124.82,45.13
637,白城,白城,122.83,45.62
641,白城,洮南,122.78,45.33
642,白城,大安,124.28,45.5
652,哈尔滨,哈尔滨,126.53,45.8
667,哈尔滨,双城,126.32,45.37
668,哈尔滨,尚志,127.95,45.22
669,哈尔滨,五常,127.15,44.92
670,齐齐哈尔,齐齐哈尔,123.95,47.33
684,齐齐哈尔,讷河,124.87,48.48
685,鸡西,鸡西,130.97,45.3
693,鸡西,虎林,132.98,45.77
694,鸡西,密山,131.87,45.55
695,鹤岗,鹤岗,130.27,47.33
705,双鸭山,双鸭山,131.15,46.63
714,大庆,大庆,125.03,46.58
724,伊春,伊春,128.9,47.73
740,伊春,铁力,128.02,46.98
741,佳木斯,佳木斯,130.37,46.82
751,佳木斯,同江,132.52,47.65
752,佳木斯,富锦,132.03,47.25
753,七台河,七台河,130.95,45.78
758,牡丹江,牡丹江,129.6,44.58
765,牡丹江,绥芬河,131.15,44.42
766,牡丹江,海林,129.38,44.57
767,牡丹江,宁安,129.47,44.35
768,牡丹江,穆棱,130.52,44.92
769,黑河,黑河,127.48,50.25
773,黑河,北安,126.52,48.23
774,黑河,五大连池,126.2,48.52
775,绥化,绥化,126.98,46.63
783,绥化,安达,125.33,46.4
784,绥化,肇东,125.98,46.07
785,绥化,海伦,126.97,47.47
790,上海,上海,121.47,31.23
810,南京,南京,118.78,32.07
